id,name,final_status,confidence,conflict_details,author_link
1416,Default Fire Mode Fixer,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1416/default-fire-mode-fixer
1425,Un-flashbang Hideout,Excluded (Client-Side),HIGH - VERIFIED BY AUTHOR,Scan and Author Description agree.,https://forge.sp-tarkov.com/mod/1425/un-flashbang-hideout
1426,UnityToolkit,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1426/unitytoolkit
1431,Dynamic Maps,Excluded (Client-Side),HIGH - VERIFIED BY AUTHOR,Scan and Author Description agree.,https://forge.sp-tarkov.com/mod/1431/dynamic-maps
1437,Simple Workout QTE,Excluded (Client-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1437/simple-workout-qte
1453,Make Shotguns Great Again!,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1453/make-shotguns-great-again
1454,CWX-MegaMod,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1454/cwx-megamod
1469,AutoDeposit,Excluded (Client-Side),HIGH - VERIFIED BY AUTHOR,Scan and Author Description agree.,https://forge.sp-tarkov.com/mod/1469/autodeposit
1474,Disable Traitor Scavs,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1474/disable-traitor-scavs
1477,AutoRun,Excluded (Client-Side),HIGH - VERIFIED BY AUTHOR,Scan and Author Description agree.,https://forge.sp-tarkov.com/mod/1477/autorun
1519,WTT - W.A.A.C. (Women's Advanced Assault Corps),Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1519/wtt-waac-womens-advanced-assault-corps
1527,Trader Namer,Excluded (Client-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1527/trader-namer
1531,Not So Secure Container,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1531/not-so-secure-container
1533,More Tag Colours,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1533/more-tag-colours
1537,sgtlaggy's Quest Tweaks,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1537/sgtlaggys-quest-tweaks
1538,Ref - SPT Friendly Quests,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1538/ref-spt-friendly-quests
1539,Bosses Have Lega Medals,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1539/bosses-have-lega-medals
1542,Debug Tooltip,Excluded (Client-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1542/debug-tooltip
1551,Remove The Dead,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1551/remove-the-dead
1554,ALL AMMO TRADER - UPDATED BY TILTUSHKIN,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1554/all-ammo-trader-updated-by-tiltushkin
1564,Medical SICC Case (MICC) - UPDATED,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1564/medical-sicc-case-micc-updated
1569,Wolfik's Heavy Trooper Masks - Reupload,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1569/wolfiks-heavy-trooper-masks-reupload
1575,Increase Climb Height,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1575/increase-climb-height
1576,INFMEDS-Update BY WispsFlame,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1576/infmeds-update-by-wispsflame
1582,Headshot Darkness,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1582/headshot-darkness
1591,Better Rear Sights,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1591/better-rear-sights
1594,APBS - Acid's Progressive Bot System,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1594/apbs-acids-progressive-bot-system
1598,MOPP(Magyeong's Outfit Plus Pack),Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1598/moppmagyeongs-outfit-plus-pack
1617,give-ui,Excluded (Client-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1617/give-ui
1619,Lots of Loot Redux,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1619/lots-of-loot-redux
1621,Shadow Flicker Fix,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1621/shadow-flicker-fix
1629,SPT-Korean-Project-Locale-Patcher,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1629/spt-korean-project-locale-patcher
1652,Stop Hotkey Auto-Vault,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1652/stop-hotkey-auto-vault
1657,MergeConsumables,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1657/mergeconsumables
1675,Start Collector Early,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1675/start-collector-early
1677,Zero2Hero++ Unheard Edition,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1677/zero2hero-unheard-edition
1745,Discarder,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1745/discarder
1755,Scavs 4 All,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1755/scavs-4-all
1760,Audio Accessibility Indicators,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1760/audio-accessibility-indicators
1776,WTT - Komrade Kid by Nyetendo,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1776/wtt-komrade-kid-by-nyetendo
1782,SPT-VR,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1782/spt-vr
1797,Hazardifier,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1797/hazardifier
1831,Agony SFX,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1831/agony-sfx
1835,SOCOM Armory,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1835/socom-armory
1853,StatTrack,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1853/stattrack
1858,Enemy Markers,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1858/enemy-markers
1860,Old Tarkov Movement (No Inertia),Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1860/old-tarkov-movement-no-inertia
1861,Stash Management Helper,Excluded (Client-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1861/stash-management-helper
1866,Gunsmith Tweaks,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1866/gunsmith-tweaks
1867,QCAdjustments,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1867/qcadjustments
1873,Bot Callsigns - Reloaded,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1873/bot-callsigns-reloaded
1884,Continuous Healing,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1884/continuous-healing
1888,Better Keys NG,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1888/better-keys-ng
1895,[SAIN] Twitch Players,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1895/sain-twitch-players
1896,Tarkov HD Item Rework Project,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1896/tarkov-hd-item-rework-project
1923,Lockable Doors,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1923/lockable-doors
1925,NerfBotGrenades,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1925/nerfbotgrenades
1933,Live Like Experience - SAIN Preset,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1933/live-like-experience-sain-preset
1936,No Unfair Trade System (NUTS),Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1936/no-unfair-trade-system-nuts
1939,BETTER ATTACHMENTS,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1939/better-attachments
1945,Ai Limit,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1945/ai-limit
1946,Arse Scratching Service (ASS),Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1946/arse-scratching-service-ass
1950,Weapon Customizer,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1950/weapon-customizer
1960,VrHands Ultimate,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1960/vrhands-ultimate
1965,Plant Time Modifier - Updated by CrocodileJonesy,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1965/plant-time-modifier-updated-by-crocodilejonesy
1971,Croupier - loadout generator + flea quicksell,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1971/croupier-loadout-generator-flea-quicksell
1973,Event Auto Profile Backup,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1973/event-auto-profile-backup
1978,Configurable End Raid Status,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1978/configurable-end-raid-status
1986,GTFO NG,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1986/gtfo-ng
1988,Low Budget Bullet Time NG,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1988/low-budget-bullet-time-ng
2003,HollywoodFX,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2003/hollywoodfx
2008,Transmog,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/2008/transmog
2010,Definitive Weapon Variants,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2010/definitive-weapon-variants
2016,Delayed Flea Sales,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2016/delayed-flea-sales
2025,All Quests Checkmarks,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/2025/all-quests-checkmarks
2032,NoCheese,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2032/nocheese
2037,Colored Tracers,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2037/colored-tracers
2046,PAUSE,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/2046/pause
2049,Add Secret Exfil Notes to Caches,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2049/add-secret-exfil-notes-to-caches
2056,Realistic Thermal Scopes,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2056/realistic-thermal-scopes
2058,SPTCorpseCleaner,Excluded (Client-Side),HIGH - VERIFIED BY AUTHOR,Scan and Author Description agree.,https://forge.sp-tarkov.com/mod/2058/sptcorpsecleaner
2059,SPTExfilNow,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/2059/sptexfilnow
2060,Secure Mapbook,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2060/secure-mapbook
2063,UnderFire - An Adrenaline Effect,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2063/underfire-an-adrenaline-effect
2066,Expanded FPS Limit,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2066/expanded-fps-limit
2069,Loot Instant Search,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2069/loot-instant-search
2070,VCO - Viewmodel Camera Offset,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/2070/vco-viewmodel-camera-offset
2076,Hideout In Progress,Excluded (Client-Side),HIGH - VERIFIED BY AUTHOR,Scan and Author Description agree.,https://forge.sp-tarkov.com/mod/2076/hideout-in-progress
2087,Light's Voice Acting framework,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/2087/lights-voice-acting-framework
2089,Light's Automatic Identifier,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2089/lights-automatic-identifier
2091,Entry Point Selector,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/2091/entry-point-selector
2093,Virtual's Custom Quests - Updated,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2093/virtuals-custom-quests-updated
2097,ABPS - Acid's Bot Placement System,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/2097/abps-acids-bot-placement-system
2101,SPT Leaderboard,Excluded (Client-Side),HIGH - VERIFIED BY AUTHOR,Scan and Author Description agree.,https://forge.sp-tarkov.com/mod/2101/spt-leaderboard
2106,Quests Extended,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/2106/quests-extended
2112,Continuous Load Ammo,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/2112/continuous-load-ammo
2114,SPTarkovAmmoCases,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2114/sptarkovammocases
2120,Time & Weather Changer NG,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2120/time-weather-changer-ng
2121,Increase Look Direction,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2121/increase-look-direction
2125,DeHazardifier - Updated by Tetris,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/2125/dehazardifier-updated-by-tetris
2129,Air Filter Warning,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/2129/air-filter-warning
2132,WTT - Corner Store,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2132/wtt-corner-store
2144,Skill Distribution,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/2144/skill-distribution
2165,Hall of Fame Improvements (3.11.x port),Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2165/hall-of-fame-improvements-311x-port
2173,VRAM Cleaner,Excluded (Client-Side),HIGH - VERIFIED BY AUTHOR,Scan and Author Description agree.,https://forge.sp-tarkov.com/mod/2173/vram-cleaner
2179,Call Of Duty Quotes,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/2179/call-of-duty-quotes
2188,Music Plays In Hideout,Excluded (Client-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2188/music-plays-in-hideout
2190,Recoil Rework,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2190/recoil-rework
2193,Set of Gun Presets for Hephaestus,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2193/set-of-gun-presets-for-hephaestus
2200,Dynamic External Resolution Patch (DERP),Excluded (Client-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/2200/dynamic-external-resolution-patch-derp
